i,elastic,inertia,body,contact,friction,damping,pressure,strain_augmented_lagrangian_lagr,periodic_contact,augmented_lagrangian,total_energy
0,0,0,0,0,0,0,-0.139089,0,0,0,-0.139089
1,0.024477,0.000466215,0,0,0,0,-0.20864,0,0,0,-0.183697
